run_time,dataset,od,is_valid,size_lhs,size_rhs,mean_time,min_time,quart25_time,median_time,quart75_time,max_time
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,2↓,1↓,3↓]",True,1,4,00:00:00.0000014,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000146
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↓] -> [0↑,1↑]",True,2,2,00:00:00.0000019,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0001775
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,3↓,2↑,1↓]",False,1,4,00:00:00.0000015,00:00:00.0000009,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0001003
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,2↓,3↑,1↑]",True,1,4,00:00:00.0000014,00:00:00.0000009,00:00:00.0000011,00:00:00.0000012,00:00:00.0000015,00:00:00.0000558
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↓] -> [0↑,3↑,1↓,2↑]",True,2,4,00:00:00.0000019,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000018,00:00:00.0001494
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↓,1↓,2↑] -> [0↑,1↑,3↑]",False,4,3,00:00:00.0000032,00:00:00.0000025,00:00:00.0000029,00:00:00.0000031,00:00:00.0000034,00:00:00.0000184
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↑] -> [0↑,1↓,2↑,3↓]",True,2,4,00:00:00.0000018,00:00:00.0000011,00:00:00.0000013,00:00:00.0000016,00:00:00.0000018,00:00:00.0001087
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓] -> [0↓,2↑]",False,1,2,00:00:00.0000009,00:00:00.0000006,00:00:00.0000007,00:00:00.0000008,00:00:00.0000011,00:00:00.0000150
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↓] -> [0↑,3↓,1↑]",False,2,3,00:00:00.0000018,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000018,00:00:00.0001233
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↓,3↓,2↑] -> [0↑,3↑,1↑,2↓]",False,4,4,00:00:00.0000035,00:00:00.0000025,00:00:00.0000029,00:00:00.0000031,00:00:00.0000033,00:00:00.0000992
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↑] -> [0↑,3↓,1↓]",True,2,3,00:00:00.0000025,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000018,00:00:00.0006026
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,3↓,2↑]",False,1,3,00:00:00.0000012,00:00:00.0000008,00:00:00.0000010,00:00:00.0000010,00:00:00.0000014,00:00:00.0000185
